1,37,1,15,1,1,479,1466
1,23,2,90,0,1,480,1467
1,38,3,90,1,1,481,1468
1,23,4,60,1,1,482,1469
1,34,6,150,0,2,483,1470
1,3,6,150,0,1,484,1471
1,3,7,90,0,1,485,1472
1,3,8,150,0,2,486,1473
2,8,3,30,0,1,487,1474
2,6,6,60,0,1,488,1475
2,8,7,90,0,1,491,1478
2,8,8,150,0,1,489,1476
2,8,9,150,0,1,490,1477
3,8,2,150,1,1,492,1479
3,8,3,30,0,1,487,1474
3,8,5,-2,0,0,493,1480
3,9,6,90,0,0,494,1481
3,9,7,-2,0,0,495,1482
3,9,8,150,0,0,496,1483
3,8,7,90,1,2,497,1484
3,9,10,300,0,0,498,1485
5,9,2,30,0,0,499,1486
5,9,4,90,0,0,500,1487
5,9,6,60,0,0,501,1488
5,9,10,300,0,0,502,1489
6,8,4,300,0,0,503,1490
6,36,7,-2,0,0,504,1491
6,9,8,90,0,1,505,1492
6,8,9,300,0,0,506,1493
6,9,10,150,0,1,507,1494
7,11,2,90,0,2,508,1495
7,11,5,90,0,2,509,1496
7,11,7,150,0,2,510,1497
8,12,1,90,0,0,512,1499
8,12,3,150,0,0,511,1498
8,9,5,30,0,0,513,1500
8,23,7,-2,0,0,514,1501
8,12,8,150,0,0,515,1502
9,9,1,15,1,0,516,1503
9,7,2,150,1,0,517,1504
9,9,4,30,0,0,518,1505
9,7,6,60,0,0,519,1506
9,8,8,60,0,0,520,1507
9,7,10,90,0,0,521,1508
10,7,2,30,0,0,522,1509
10,7,4,60,0,0,523,1510
10,9,5,30,0,0,524,1511
10,7,6,90,0,0,525,1512
10,9,7,90,0,0,526,1513
10,9,7,60,0,0,527,1514
10,9,8,150,0,0,528,1515
11,9,1,15,1,0,516,1503
11,7,2,150,1,0,517,1504
11,9,4,30,0,0,529,1516
11,9,5,60,0,0,530,1517
11,9,7,60,0,0,527,1514
11,9,9,60,0,0,531,1518
3,8,2,150,1,1,492,1479
13,8,6,60,0,1,532,1519
13,8,7,150,0,1,533,1520
13,9,8,30,0,1,534,1521
13,8,9,90,0,1,535,1522
16,8,3,15,0,0,536,1523
16,8,5,90,0,0,537,1524
16,8,6,30,0,0,538,1525
16,8,7,90,0,0,539,1526
16,8,8,30,0,0,540,1527
17,7,3,30,1,0,541,1528
17,23,4,15,0,0,542,1529
17,7,6,60,0,0,543,1530
17,36,7,-2,0,0,544,1531
18,8,1,30,0,2,545,1532
18,9,1,15,1,0,546,1533
18,8,2,15,0,1,547,1534
18,8,2,60,1,2,557,1544
18,8,3,90,0,2,548,1535
18,8,3,30,0,2,549,1536
18,8,4,30,0,2,550,1537
18,34,4,60,0,2,551,1538
18,8,5,150,0,2,552,1539
18,8,5,60,0,2,558,1545
18,8,6,30,1,2,553,1540
18,8,7,15,0,0,554,1541
18,8,8,90,0,2,555,1542
18,8,8,60,0,1,559,1546
18,8,9,300,1,0,556,1543
18,8,9,90,0,2,560,1547
19,8,1,30,1,2,561,1548
19,8,2,30,0,2,562,1549
19,8,3,60,0,2,563,1550
19,9,5,30,0,0,564,1551
19,8,6,60,0,0,565,1552
19,8,9,90,0,0,566,1553
20,9,1,90,0,0,567,1554
20,7,3,90,0,0,568,1555
20,9,5,150,0,0,569,1556
20,9,6,150,0,0,570,1557
20,11,8,150,0,2,571,1558
21,8,1,30,1,1,572,1559
21,8,3,60,0,1,573,1560
21,8,4,60,0,1,574,1561
21,9,6,30,0,1,575,1562
22,34,3,-2,0,2,576,1563
23,9,5,150,1,0,577,1564
23,36,7,-2,1,0,578,1565
23,7,9,300,0,0,579,1566
24,8,2,60,1,1,580,1567
24,8,4,90,1,1,581,1568
24,9,5,90,0,1,583,1570
24,8,6,300,0,1,582,1569
26,8,1,-2,0,2,584,1571
26,8,4,-2,1,2,585,1572
26,9,6,90,0,0,586,1573
26,7,8,150,0,0,587,1574
26,8,10,-2,0,2,588,1575
27,8,1,-2,0,2,589,1576
27,8,3,-2,1,2,590,1577
27,18,5,90,1,1,592,1579
27,9,6,30,0,0,591,1578
27,8,7,-2,0,2,593,1580
27,10,8,90,0,0,594,1581
28,8,1,-2,0,2,596,1583
28,8,2,60,1,2,557,1544
28,8,3,-2,0,2,595,1582
28,8,4,-2,0,1,597,1584
28,8,5,60,0,2,558,1545
28,8,7,150,0,2,598,1585
29,8,2,30,0,2,599,1586
29,8,4,-2,1,2,600,1587
29,8,5,-2,1,2,601,1588
29,35,9,-2,0,2,602,1589
29,0,1,-2,0,2,887,887
0,0,0,-2,0,2,887,887
0,0,0,-2,0,2,887,887
